userName,score,content,at
Ndahh Star,1,"tetiba crash, gabisa dibuka, sudah di install ulang bisa digunakan sekali stelah itu crash lagi gabisa dibuka. aneh. QAnya kaga bener ini, bisa2nya aplikasi crash lolos pengujian.",2025-11-17 02:11:02
Putri Difa Eka ramadhani,5,aplikasi bagus,2025-11-17 01:58:19
Edi Supriyanto,5,bagus,2025-11-17 01:53:45
Fauzi Setiawan,1,Ini pegadaian IT nya cuma ngopi doang ama ngerokok ya? abis update malah gabisa login. gimana mau percaya?,2025-11-17 01:46:58
Aqsya Amel,1,"aplikasi pembiayaan terburuk yang pernah saya pakai, membingungkan, terkesan tidak profesional, tidak jelas, menu2 kacau parah, bisa terjebak, buruk sekali. aplikasi terburuk yang pernah saya pakai. kepada pegadaian tolong diganti saja. jangan dipakai eksperimen.",2025-11-17 01:33:50
Handy Sugiyanto,5,sangat membantu untuk membeli barang berharga tanpa harus datang ke tempat penjualnya langsunh,2025-11-17 01:17:12
Eris Risnawati,3,"aplikasi masih ribet,, mulai dari cif dan memasukkan data bank yang selalu tidak terdaftar nyobain hubungi call center ujung ujungnya harus ke cabang juga",2025-11-17 00:45:35
Adi Bklu,3,"kenapa sekarang mau masuk tring susah, harus instal ulang terus.. bagus aplikasi sblmnya jarang eror",2025-11-17 00:42:03
ahmad kharis,1,"saya 2 kali uninstall kemudian menginstall ulang aplikasi tring untuk bisa masuk aplikasi karena crush. Padahal jaringan stabil. Mohon untuk diperbaiki, saya rasa pegadaian digital lebih bagus soal kehandalan aplikasi.",2025-11-17 00:40:06
Mirnaa Watii,5,Tambah Gampang Bangett.Makasihh Pegadaian,2025-11-17 00:29:55
Jannatun Hayati,1,kenapa jadi gini aplikasinya susah login nya kadang aplikasi eror lebih suka yg versi lamanya,2025-11-16 23:43:08
Sinelsa Wulandari Sany,3,"saya mau coba masuk dan buat user id kenapa otp tidak masuk sms??? bisa rubah ke wa ga sih apa email, masa cm 1 pilihan, ke sms pun ga bsa",2025-11-16 22:47:52
Raeyan Alkairo,3,kenapa tidak bisa lagi dibuka,2025-11-16 22:47:27
Mister Bean,5,sangat luar biasa apknya,2025-11-16 21:46:29
Dario Oyyy,5,ok,2025-11-16 21:32:30
Wan Kullbet,5,apknya bagus cuman kenapa pas masuk forclose yaa,2025-11-16 21:30:46
Leni aryanti,5,bagus,2025-11-16 20:17:58
Sity Aiisha,1,"aplikasi tring saya tiba"" ngga bisa d buka... mana saya lg cicil emas dan mau bayar malah susah masuk... gimana solusi nya?",2025-11-16 19:48:18
Jajang Jajang,5,bagus,2025-11-16 19:42:41
Kenzie TekniK,5,Aplikasi yang sangat membantu Finansia,2025-11-16 19:34:02
Alisa Veri Ananda,5,aplikasi yang sangat bagus.,2025-11-16 19:10:11
Indo Rimba,5,mantabs,2025-11-16 18:52:15
Djoeragan Aja,5,Keren,2025-11-16 18:33:09
Syarifa Hidayah,1,"Install aplikasi ini tujuannya agar mudah melakukan pembayaran tapi aktualnya gagal terus melakukan pembayaran online, disarankan oleh CS cabang untuk update aplikasi dan alternatif bank lain sudah dilakukan masih tidak bisa. Akhirnya tetap bayar secara offline, pas cek di aplikasi tidak terupdate juga. Kalau belum siap sistemnya dan aplikasi knowledge di personel tiap cabang mending ga usah saranin download aplikasinya deh. Perbaiki dulu sistemnya.",2025-11-16 18:21:34
Ema Felix,5,Mudah di mengerti,2025-11-16 18:11:35
Marcduyy,5,good,2025-11-16 17:26:38
Afifah Jahra,4,kenapa gabisa masuk aplikasi ya? ke close terus ğŸ˜­,2025-11-16 17:00:13
tukhfatul afida,1,"dahlah apk aneh, tidak lengkap menu nya",2025-11-16 16:57:45
RestA Ghanzz,5,aplikasi nya sangat membantu,2025-11-16 16:57:18
iki munawar,5,bagus banget,2025-11-16 16:50:04
Alfarez Alrasid,4,kasih bintang â­â­â­â­ soalnya baru coba apk ini.,2025-11-16 16:44:11
Puntuk Raya,5,mantab,2025-11-16 16:39:53
M Nabil,5,bagus,2025-11-16 16:35:32
Marvel Ardiansah,5,baguss sekalii mantap,2025-11-16 16:26:55
uchiha â€œS1 Xoraê§à¼ºAâ€ Xero,5,mantap sukses selalu,2025-11-16 16:20:11
Rizky Amalia,5,Sangat bagus sekali,2025-11-16 16:15:51
putri indah,1,kenapa setelah di download tidak bisa di buka ???,2025-11-16 16:11:38
willy aldilas,1,idah d uninstal terus instal lg tetp aja g bisa d akses..ğŸ¤¦ğŸ¤¦ğŸ¤¦,2025-11-16 15:58:55
Zahwa Fitra,5,BagusMbatu,2025-11-16 15:24:05
DHA_VID RJN,5,coba dulu,2025-11-16 15:17:08
Komang Wijaya,5,keren,2025-11-16 15:02:43
Arya Firmansyah,5,sangat bagus,2025-11-16 15:01:44
Pik Ri,5,bisa membantu klu amanah,2025-11-16 14:31:54
Okiyana Sinta,2,"tolong dong, ini kenapa mau login tidak bisa yaa. dicoba berkali kali ttp tidk biaa",2025-11-16 14:27:03
Riky Sahputra,5,bagus,2025-11-16 14:22:28
Indra Saputra,5,apknya bagus bangett....,2025-11-16 13:48:44
Elsa Permata,1,"sering error. udah dihapus cache, diinstal ulang masih error aja. padahal koneksi internet stabil",2025-11-16 13:44:14
najwan,5,keren,2025-11-16 13:42:53
teddy efendy,1,woiii.. aplikasinya g bisa di buka,2025-11-16 13:34:02
riki andrian,5,apk baguss,2025-11-16 12:26:59
Edi Susanto,5,bagus,2025-11-16 12:09:45
Jam'a Endang,5,Bagus,2025-11-16 11:21:48
kay zah,1,aplikasinya ngga bener masa di klik nggak tampil di ulang-ulang tetep aja bikin pusing,2025-11-16 11:20:21
Asp Debo,5,amanah tentunya,2025-11-16 11:00:17
Haedar Ikhsan,5,bagus sekali buat yang mencicil emas,2025-11-16 10:53:42
Akun Saya,5,sangat bagus,2025-11-16 10:48:56
nani nani,2,"ini kenapa jadi begini aplikasi nya ga bisa di buka, harus download ulang baru bisa di buka, besok nya mau di buka harus download ulang lagi haduh, tolong di perbaiki dong",2025-11-16 10:48:46
Ibrahim Baim,5,sangat bagus saya bisa mendapatkan uang dari Tring,2025-11-16 10:38:47
Geprek Sang kapten,1,lebih bagus aplikasi yang sebelumnya.. lebih fleksibel..,2025-11-16 10:35:10
Rizky Sitorus,1,aplikasi tidak dapat dijalankan di hp Xiaomi.,2025-11-16 10:27:36
Raidha Risa,5,aplikasi nya simple banhet,2025-11-16 10:23:39
Sandro Panjaitan,5,aplikasinya bagus sekali,2025-11-16 10:23:15
Dimas Ilham Cahya,5,bagus aplikasi nya sangat recommended,2025-11-16 10:22:19
Dermawan laia,5,mantao,2025-11-16 10:12:42
Fitria Sandy,1,kenapa suka ganggu kalau pas mau dibuka,2025-11-16 10:05:47
Flea Fanani,1,percuma tidak bisa di buka,2025-11-16 09:42:24
Teguh Irianto,2,kenapa brapa hari in aplikasi ngk bs terbuka,2025-11-16 09:37:13
Albani Cungkring,5,aplikasi yang sangat keren,2025-11-16 09:29:43
Adra Davi,5,perlu diperbaiki lagi,2025-11-16 09:19:06
iman kobek,5,semoga bermanfaat aplikasi nya dan bagus juga,2025-11-16 09:18:46
Dwi Setiawan,5,keren,2025-11-16 09:11:00
Alfa Caple,5,aplikasi yang sangat baguss,2025-11-16 08:33:00
Faris One,5,bagus,2025-11-16 08:32:42
Aabid Arsyaka,5,bagusss,2025-11-16 08:10:56
naura Alpen,5,wah apk nya bagus menarik,2025-11-16 07:47:55
Farel,5,bagus,2025-11-16 07:42:59
Rahmanto Manto,1,aplikasi sering eror,2025-11-16 07:29:38
Samuel Sinaga,1,"dah kabur bawa duit app nya ğŸ¤£, karna mas turun drastis ğŸ¤£",2025-11-16 07:14:49
Elponsa Ratih,2,"aplikasi dihapus anak, instal ulang malah ga bs buka. keterangan nya aplikasi menggunakan keyboard pihak ketigağŸ˜ Pdhl ga pake apa2. Smg ada solusi",2025-11-16 07:00:29
intan putri buana priastiti,1,gk bsa di buka terus,2025-11-16 06:58:03
Xnxx A,1,aplikasi aneh...keluar2 terus...semoga gak penipuan!,2025-11-16 06:25:58
Yosis Cerl,5,good job.,2025-11-16 06:14:33
Yusuf Suchartono,1,susah login,2025-11-16 06:13:13
muhamad arifin (joe muhamad),1,app pegadaian digital di hp ke hapus/ ilang sendiri setelah download tring kok sama sekali ga bisa masuk ada tulisan app mendeteksi ada aksebilita yg tdk di kenal aktif...kok jadi kacau sih,2025-11-16 06:10:36
DIANA (ANNA),1,sumpah gedegh banget semenjak d update ke TRING malah sering Crash (ga bisa masuk ke aplikasi nya) sdgkan saya mau bayar cicilan emas sya susah,2025-11-16 06:05:23
Rahmad united,1,sudah di instal ulang berkali-kali tetap eror aplikasinya tidak bisa di buka,2025-11-16 06:03:04
Zeroone GM,4,tolong tambahkan opsi pembayaran instan gopay dong?,2025-11-16 05:55:01
ali chandra,1,"tidak BS masuk ke aplikasi, screen tidak BS di klik",2025-11-16 05:51:19
Rhano Rodriguez (Ranzhy),5,bagus banget,2025-11-16 05:42:43
Kadek Ari,5,mantap,2025-11-16 05:41:48
Fahfa A,1,"untuk teman2 yg lain, tolong perhatikan seblum nabung emas digital disini. untuk PENJUALAN EMAS ternyta hanya bisa menggunkan rekening bank tertentu aja, dan harus atas nama pemilik itu sendiri. Tapi anehnya pas PEMBELIAN EMAS, bisa menggunakan rekening orang atas nama orang lain. Parahnya lagi gak ada notifikasi atau keterangan yang mwngharuskan memakai bank tertentu dgn nama yg sama dgn pemiliknya. Jd yg gak punya rek sama seakan terjebak. bisa BELI, tp ketika JUAL harus buka rekening baru",2025-11-16 05:09:43
Rd.muhamad Rizky06,1,aplikasi crash. udh di instal ulang tetap crash. jaringan aman. tidak mau login dan di click. parah,2025-11-16 05:01:17
One susanto,1,ga bisa on,2025-11-16 05:01:10
Budi Harto,1,"parahh erornya, saya tidak bisa login katanya unauthorized acsess, sudah berhari2 dicoba, mohon diperbaiki sistemnya Min",2025-11-16 04:59:51
Ani Tri s,3,ko apk nya gak bisa di buka ya ?,2025-11-16 04:56:20
Intan Rahma,1,kenapa aplikasinya tidak bisa dibuka? ğŸ‘,2025-11-16 04:52:41
Benya Minn,5,This application is very very good,2025-11-16 04:50:05
Fitria Sari,1,kenapa tidak bisa masuk?,2025-11-16 04:50:01
Andri anto,5,bagus aplikasinya,2025-11-16 04:28:11
Alfina Alfionita,1,kok gak bisa di buka padahal udah di unistall terus download tapi tetep gak bisa,2025-11-16 04:19:45
Yuzarsif Ebenezer,5,mantap,2025-11-16 04:00:52
Fatan Azril,5,sangat bagus,2025-11-16 03:53:35
W Sulistiyawan,3,sumpah sering banget gak bisa gagal buka,2025-11-16 03:47:52
Sonia Purnamasari,1,sush mau d pke suka kadang eror aplikasinya,2025-11-16 03:43:34
Putu Saniban,5,bagus sekali,2025-11-16 03:37:25
Rafie Rafie,5,mantap,2025-11-16 03:34:40
hasanudin warsan,1,"aplikasi brengsek,lupa userID sama paspor untuk buka apl saja ga bisa nerusin. masukin no NIK & GMEL sudah benar juga.",2025-11-16 03:32:50
KHAP KHAP Ganteng,5,good,2025-11-16 03:31:51
Zema,5,aplikasinya baguss,2025-11-16 03:23:49
Tr3 ono,1,sering erorr gak bisa dibuka,2025-11-16 03:14:31
Lapangan88,5,ğŸ‘ğŸ»,2025-11-16 02:43:20
Muh Nurussaid,1,aplikasi yang baru kurang bagus suka NGEFREZEE tolong dong diperbaiki aplikasinya atau kembalikan ke aplikasi lama saja kalau memang belum sempurna aplikasi barunya,2025-11-16 02:26:26
Jujuk Paranginangin,5,aplikasi nya sangat bagus banget,2025-11-16 02:04:23
Sikil Bau,5,silit,2025-11-16 02:02:41
Albert Gunawan,1,"kendalanya sama, gak bisa masuk, total udah 4x download dan hapus. kirain masalah di perizinan aplikasi, eh ternyata banyak yg mengalamin juga. berarti aplikasi nya yang belum sempurna. bagaimana ini pegadaian? masa kalah sama perusahaan daring ecek ecek yang sering numpang ngiklan di aplikasi lain alias pinjo....",2025-11-16 01:57:57
Indra Davit,1,"TRING adalah APLIKASI SAMPAH, Kecewa sebagai nasabah. ga bisa dibuka, aplikasi ngefreeze. Sekelas perusahaan BUMN seperti ini aplikasinya. Sangat buruk",2025-11-16 01:49:45
Henoch Febri96,5,bagaimana cara login aplikasi dibuka langsung mental tidak mau membuka sedangkan saya punya cicilan emas,2025-11-16 01:47:54
Dhafa Septianza zaida,5,apk yang bagus,2025-11-16 01:47:26
Saiful Borotu,5,muannntaap,2025-11-16 01:46:54
Akun samsung,1,sering crash,2025-11-16 01:34:01
Ridho Habsy,5,bagus sekali aplikasi ini,2025-11-16 01:27:45
ida fitriyanti,2,makin parah aplikasinya setelah beralih makon error ga bisa di buka,2025-11-16 01:24:42
Budi Kalek,5,mantap,2025-11-16 01:07:47
Haikal hoerul,5,bagus,2025-11-16 01:00:13
Aris Purnadi,2,"penggunaanya susah, login sulit",2025-11-16 00:27:09
Ridho Bagus,1,Tidak bisa dibuka,2025-11-16 00:11:28
Desta Harya Putra,5,aplikasi ini sangat bagus dan membantu untuk peminjaman online karena memiliki bunga yang sangat rendah dan sangat murah,2025-11-16 00:09:48
pradipta daniswara akekahan Wisanggeni,1,parah ini aplikasi crash trus.apa saya tarik semua tabungan saya aja.mwmbahayakan,2025-11-15 23:58:51
Restu Kholifm,5,bagusss,2025-11-15 23:48:16
Erman SE,3,sangat bermanfaat.. tp kadang tdk bisa dinakses,2025-11-15 23:37:37
Susi Umborowati,1,"aplikasi tring kalau sudah di hapus dan di instal kembali, kenapa tidak bisa di gunakan kembali? bagaimana caranya untuk bisa di akses lagi?",2025-11-15 22:53:01
Arjuna Ireng Chanel,5,ok,2025-11-15 22:31:39
Agus Gaming,5,mantab nih aplikasi nya,2025-11-15 22:28:30
Budi Muklish,4,tring penggadaian..kenapa susah sekali dibuka (sering crash).tolong diperbaiki dong.,2025-11-15 22:10:24
Irpan Mahesa,5,mudah dan cepat,2025-11-15 22:06:47
Nur Sya'ban,1,mau log in aja gk bisa,2025-11-15 21:57:09
Farel Gege,1,payah,2025-11-15 21:36:51
rivaldo tanjung,5,baik,2025-11-15 21:14:49
ilman yaqin,5,keren,2025-11-15 20:21:23
Arif Setiyawan,1,"aplikasi sampah, woy aplikasi sampah gak bisa masuk ke aplikasi logout otomatis gimana woy, disitu ada duitku pegadaian aplikasi sampah",2025-11-15 19:49:20
Roy Alexander,5,keren banget,2025-11-15 19:23:28
Nabila,5,bermanfaat,2025-11-15 19:22:10
Ddan Kresna,5,oke,2025-11-15 19:09:00
Padel Gg,5,mantap,2025-11-15 18:32:05
Riki aulian Arvinonazril,5,baik!,2025-11-15 18:25:29
Nizma Yunita,2,"kenapaa aplikasi tbtb ganti jadi tring ? login nya susah ribet kode referral dr mana gak masuk masuk, trs uang yg sudah tersimpan bagaimana!?",2025-11-15 18:24:34
Emil Irzani,5,cukup untuk saat ini...,2025-11-15 18:20:37
robet sasongko,1,"fitur nya semakin sedikit ,fitur masih belum jalan sepenuhnya",2025-11-15 17:45:44
Anas Muzawir,5,bagus,2025-11-15 17:40:24
Khoirunnisa Azzahro,5,ok,2025-11-15 17:33:04
Dita Melania,1,"udh bisa daftar sih kmrn, cuma buat login ulang gabisa. Masuk app susahnya setengah mati, padahal mau transaksi tp gabisa, sampah bgt app lo. Ditanyai knp eror jawabnya lg maintenance, dari kmrn gitu mulu alesannya basi. BUDGET BUAT APLIKASI GEDE TAPI YG DI DAPAT APLIKASI SAMPAH YA BUAT APA?? PAKE PROGRAMING YG BAGUS, HIRE IT YG OKE DONG. kalo emg belum MUMPUNI JGN LAUNCHING.",2025-11-15 17:10:44
Aryra_ Varerra,5,apk ngbug,2025-11-15 17:08:32
Myfavorit Azzami,5,aplikasi yang keren,2025-11-15 16:59:59
Holis Holis bocil,5,josgandos,2025-11-15 16:33:48
Satria Angga,5,sangat bagus apk nya,2025-11-15 16:14:13
Addy,5,bagus bangettt,2025-11-15 16:11:12
Tiara Agustiani,2,kenapa APKnya gabisa dibuka???,2025-11-15 15:56:53
Sulee Leesu,5,mantap man,2025-11-15 15:49:04
Azis Movic,1,"lahh kok saya jadi tidak masuk, notifikasinya terindikasi menggunakan keyboard pihak ketiga, padahal saya tidak menggunakan keyboard pihak ketiga, kacauu nih",2025-11-15 15:48:42
Aldiansyah -,1,"akun saya hilang, sejak update aplikasi ini. bagaimana?",2025-11-15 15:47:43
choirun nisa,1,jangan upgrade ke versi tring ini bagi yang punya nama tanda petik di Ktp akan bermasalah dengan rekening yang dihubungkan ! menyesal sy. sudah hubungi CSpegadaian baik offline maupun online hanya bs lempar kesalahan ke pihak bank. padahal buat rekening bank lain samagagal!!,2025-11-15 15:47:29
Eony Salala,5,aplikasi ini sangat membantu,2025-11-15 15:22:58
Wida wida,5,huuğŸ‘,2025-11-15 15:10:47
Jun Iskandar,5,baik,2025-11-15 15:01:59
Juliandi Purba,1,tidak lebih baik bahkan jauh lebih buruk dari aplikasi pegadaian yang sebelumnya,2025-11-15 14:50:15
Anggi nuarini,5,bagus,2025-11-15 14:48:50
King Ote,5,gak bisa di masuk,2025-11-15 14:46:40
Dyaa Reyy,5,sangat rekomendasi sekali apk nya bagusâ¤ï¸ğŸ¥°,2025-11-15 14:33:59
retceh channel,5,baik,2025-11-15 14:10:31
Riko Eka Pradesta,5,sangat bagus,2025-11-15 14:02:21
å¤æ¢…ç¾ç¾,5,gampang aplikasi ini buat pengadaian,2025-11-15 13:41:42
Qonita Faradisal,5,sangat membantu,2025-11-15 13:21:57
Lusiana Keliat,5,oke,2025-11-15 13:21:14
Hi_ruma Kurita,1,"Aplikasi crash tidak bisa d buka, harus hapus data dulu. lalu ulang input data diri baru bisa terbuka. tolong segera perbaiki",2025-11-15 13:14:29
fcky saputra,5,aplikasi Yang sangat Mudah,2025-11-15 13:03:55
Gunarto AE,3,lhooo knpa ini habis di update malah susah di buka aplikasinya,2025-11-15 12:56:01
Santoso Aja,3,kayak e aplikasinya belom sempurna mental trus saat mau log in,2025-11-15 12:54:49
raden Permana,5,bagus,2025-11-15 12:35:32
Aprilya sindy Putri,1,kenapa setelah update ke yang baru ini nik dan data saya tidak di ketahui? masih ada tabungan emas sayaa di dalam. tolong admin bagaimana ini,2025-11-15 12:34:48
Ika ninda lestari,1,ini gimna ya mau log in kk gak bisa udh tak hapus dan tak instal lagi ttep gak bisa trus gmn tabungan sya aplikasinya kk kyak aplikasi bodong,2025-11-15 12:21:51
Mutia Mutiacell,5,"aplikasi ini sangat menguntungkan buat saya, terimakasih!!",2025-11-15 12:16:11
Ahmad Azhari Y,1,Maaf total sudah 3 hari ini aplikasi crash terus. Saya pakai wifi dengan upload dan download 200mbps dan untuk jaringan selular sudah 5G. Dan sudah reinstal ulang. Terus solusinya gmn nih?,2025-11-15 12:15:49
Gading Wiga,3,apa urgensi beralih aplikasi?? udah gitu harus verifikasi untuk mengalihkan akun tujuam digital itu mempermudah malah harus ke kantor cabang dulu,2025-11-15 12:15:43
Hasbiyal Looh,5,bagus dan fast respon,2025-11-15 12:13:41
Sri Sulastri,1,kenapa ini ga bisa dibuka aplikasinya?,2025-11-15 12:11:18
Devonte Caldwell Devonte Caldwell,5,"proses pencairannya cepat dan transparan,sangat praktis",2025-11-15 12:01:37
Oki Sholeh,5,"aplikasinya keren, sangat membantu untuk kebutuhan sehari-hari, serta dapat cepat sukses",2025-11-15 11:58:39
candra ardiyansah,1,aplikasi masih perlu banyak perbaikan,2025-11-15 11:57:23
TEGUH PRASETYANTO,1,aplikasi masih nge lag,2025-11-15 11:38:52
Aida Safitri,1,aplikasi tidak bisa di buka sama sekali... sudah info petugas pegadaian suruh coba lagi tapi sudah di coba tetap ngk bisa sampai sekarang.. ğŸ˜©,2025-11-15 11:37:51
adjie qalby,5,aplikasinya mantap. pencairan langsung di kirim saat itu juga. sesuai dengan harga yang terbaru.,2025-11-15 11:22:51
novi isnaini,2,"aplikasi baru makin susah, mau nambah rekening bank juga sulit, pilihan sedikit dan sering eror",2025-11-15 11:18:46
Arif Munandar,5,keren bgt aplikasinyaa aku sukaa,2025-11-15 11:17:54
Kcong Indo,5,"tolong di tingkat kan sering crass di suruh mengosongkat riwayat terus menerus, harus verifikasi wajah terus jika di kosongkan riwayatnya, jika tidak apk tidak mau terbuka mental terus",2025-11-15 11:11:08
Kangmas,5,"sekarang sudah bagus, tidak sesulit aplikasi yang lama. smooth",2025-11-15 11:10:07
rismanabdulr Rismanabdulr,5,mantap banget nihh,2025-11-15 11:08:02
Maikel Makawimbang,5,apknya sangat bagus,2025-11-15 11:06:07
Zain M.S,1,"aplikasinya sering crash, sudah download dan install kemudian tidak bisa login maupun daftar. Hanya tampilan saja tidak bisa klik apapun",2025-11-15 10:56:07
Aldi Ardiansyah,1,"kalaupun ada bintang setengah akan saya kasih setengah , baru aja saya hapus karna ada masalah gabisa kebuka pas saya download lagi ternyata masih sama , jaringan saya lagi bagus",2025-11-15 10:47:11
muhammad elshabir,1,ga normal aplikasinya keluar trusss ketika digunakan,2025-11-15 10:42:57
